"","Cell","Cell_type"
"1","C_1","Fasciculata cell"
"2","C_2","Macrophage"
"3","C_3","Myeloid cell"
"4","C_4","Myeloid cell"
"5","C_5","Macrophage"
"6","C_6","Macrophage"
"7","C_7","Myeloid cell"
"8","C_8","Fasciculata cell"
"9","C_9","Fasciculata cell"
"10","C_10","Fasciculata cell"
"11","C_11","Fasciculata cell"
"12","C_12","Fasciculata cell"
"13","C_13","Fasciculata cell"
"14","C_14","T cell"
"15","C_15","Fasciculata cell"
"16","C_16","Myeloid cell"
"17","C_17","Myeloid cell"
"18","C_18","Myeloid cell"
"19","C_19","Fasciculata cell"
"20","C_20","Neutrophil"
"21","C_21","Fasciculata cell"
"22","C_22","T cell"
"23","C_23","Myeloid cell"
"24","C_24","Myeloid cell"
"25","C_25","Kidney intercalated cell"
"26","C_26","Fasciculata cell"
"27","C_27","Myeloid cell"
"28","C_28","Myeloid cell"
"29","C_29","Macrophage"
"30","C_30","Fasciculata cell"
"31","C_31","Fasciculata cell"
"32","C_32","Fasciculata cell"
"33","C_33","Myeloid cell"
"34","C_34","T cell"
"35","C_35","Myeloid cell"
"36","C_36","Fasciculata cell"
"37","C_37","Macrophage"
"38","C_38","Fasciculata cell"
"39","C_39","Macrophage"
"40","C_40","Myeloid cell"
"41","C_41","Myeloid cell"
"42","C_42","Macrophage"
"43","C_43","Myeloid cell"
"44","C_44","Macrophage"
"45","C_45","Myeloid cell"
"46","C_46","Myeloid cell"
"47","C_47","T cell"
"48","C_48","Macrophage"
"49","C_49","T cell"
"50","C_50","Fasciculata cell"
"51","C_51","Myeloid cell"
"52","C_52","Fasciculata cell"
"53","C_53","Macrophage"
"54","C_54","Myeloid cell"
"55","C_55","Myeloid cell"
"56","C_56","Myeloid cell"
"57","C_57","Myeloid cell"
"58","C_58","Myeloid cell"
"59","C_59","Macrophage"
"60","C_60","T cell"
"61","C_61","Myeloid cell"
"62","C_62","Fasciculata cell"
"63","C_63","Myeloid cell"
"64","C_64","Myeloid cell"
"65","C_65","Macrophage"
"66","C_66","Macrophage"
"67","C_67","Myeloid cell"
"68","C_68","Myeloid cell"
"69","C_69","Myeloid cell"
"70","C_70","Myeloid cell"
"71","C_71","Myeloid cell"
"72","C_72","Myeloid cell"
"73","C_73","Myeloid cell"
"74","C_74","Myeloid cell"
"75","C_75","T cell"
"76","C_76","Macrophage"
"77","C_77","Myeloid cell"
"78","C_78","Macrophage"
"79","C_79","Myeloid cell"
"80","C_80","Myeloid cell"
"81","C_81","Myeloid cell"
"82","C_82","Myeloid cell"
"83","C_83","Myeloid cell"
"84","C_84","Fasciculata cell"
"85","C_85","Macrophage"
"86","C_86","Macrophage"
"87","C_87","Fasciculata cell"
"88","C_88","Macrophage"
"89","C_89","Sinusoidal endothelial cell"
"90","C_90","Myeloid cell"
"91","C_91","Macrophage"
"92","C_92","Myeloid cell"
"93","C_93","T cell"
"94","C_94","Myeloid cell"
"95","C_95","Myeloid cell"
"96","C_96","Myeloid cell"
"97","C_97","Myeloid cell"
"98","C_98","Myeloid cell"
"99","C_99","Macrophage"
"100","C_100","Myeloid cell"
"101","C_101","Myeloid cell"
"102","C_102","Macrophage"
"103","C_103","T cell"
"104","C_104","Myeloid cell"
"105","C_105","Myeloid cell"
"106","C_106","Myeloid cell"
"107","C_107","Myeloid cell"
"108","C_108","Macrophage"
"109","C_109","Myeloid cell"
"110","C_110","Myeloid cell"
"111","C_111","Myeloid cell"
"112","C_112","Sinusoidal endothelial cell"
"113","C_113","Macrophage"
"114","C_114","Myeloid cell"
"115","C_115","T cell"
"116","C_116","Myeloid cell"
"117","C_117","Fasciculata cell"
"118","C_118","Myeloid cell"
"119","C_119","Myeloid cell"
"120","C_120","Fasciculata cell"
"121","C_121","Myeloid cell"
"122","C_122","Myeloid cell"
"123","C_123","Myeloid cell"
"124","C_124","Myeloid cell"
"125","C_125","Myeloid cell"
"126","C_126","Myeloid cell"
"127","C_127","Myeloid cell"
"128","C_128","Myeloid cell"
"129","C_129","Myeloid cell"
"130","C_130","Myeloid cell"
"131","C_131","Myeloid cell"
"132","C_132","Myeloid cell"
"133","C_133","Myeloid cell"
"134","C_134","Myeloid cell"
"135","C_135","Myeloid cell"
"136","C_136","Myeloid cell"
"137","C_137","Myeloid cell"
"138","C_138","T cell"
"139","C_139","Myeloid cell"
"140","C_140","Myeloid cell"
"141","C_141","T cell"
"142","C_142","T cell"
"143","C_143","Myeloid cell"
"144","C_144","Myeloid cell"
"145","C_145","T cell"
"146","C_146","Myeloid cell"
