"","Cell","Cell_type"
"1","C_1","Epithelial cell (intermediated)"
"2","C_2","Epithelial cell (intermediated)"
"3","C_3","Epithelial cell (intermediated)"
"4","C_4","Epithelial cell (intermediated)"
"5","C_5","Epithelial cell (intermediated)"
"6","C_6","Epithelial cell (intermediated)"
"7","C_7","Epithelial cell (intermediated)"
"8","C_8","Epithelial cell (intermediated)"
"9","C_9","Epithelial cell (intermediated)"
"10","C_10","Epithelial cell (intermediated)"
"11","C_11","Epithelial cell (intermediated)"
"12","C_12","Epithelial cell (intermediated)"
"13","C_13","Epithelial cell (intermediated)"
"14","C_14","Epithelial cell (intermediated)"
"15","C_15","Epithelial cell (intermediated)"
"16","C_16","Epithelial cell (intermediated)"
"17","C_17","Epithelial cell (intermediated)"
"18","C_18","Epithelial cell (intermediated)"
"19","C_19","Epithelial cell (intermediated)"
"20","C_20","Epithelial cell (intermediated)"
"21","C_21","Epithelial cell (intermediated)"
"22","C_22","Epithelial cell (intermediated)"
"23","C_23","Epithelial cell (intermediated)"
"24","C_24","Epithelial cell (intermediated)"
"25","C_25","Epithelial cell (intermediated)"
"26","C_26","Epithelial cell (intermediated)"
"27","C_27","Epithelial cell (intermediated)"
"28","C_28","Epithelial cell (intermediated)"
"29","C_29","Epithelial cell (intermediated)"
"30","C_30","Epithelial cell (intermediated)"
"31","C_31","Epithelial cell (intermediated)"
"32","C_32","Epithelial cell (intermediated)"
"33","C_33","Epithelial cell (intermediated)"
"34","C_34","Epithelial cell (intermediated)"
"35","C_35","Epithelial cell (intermediated)"
"36","C_36","Epithelial cell (intermediated)"
"37","C_37","Epithelial cell (intermediated)"
"38","C_38","Epithelial cell (intermediated)"
"39","C_39","Epithelial cell (intermediated)"
"40","C_40","Epithelial cell (intermediated)"
"41","C_41","Epithelial cell (intermediated)"
"42","C_42","Epithelial cell (intermediated)"
"43","C_43","Epithelial cell (intermediated)"
"44","C_44","Epithelial cell (intermediated)"
"45","C_45","Epithelial cell (intermediated)"
"46","C_46","Epithelial cell (intermediated)"
"47","C_47","Epithelial cell (intermediated)"
"48","C_48","Epithelial cell (intermediated)"
"49","C_49","Epithelial cell (intermediated)"
"50","C_50","Epithelial cell (intermediated)"
"51","C_51","Epithelial cell (intermediated)"
"52","C_52","Epithelial cell (intermediated)"
"53","C_53","Epithelial cell (intermediated)"
"54","C_54","Epithelial cell (intermediated)"
"55","C_55","Epithelial cell (intermediated)"
"56","C_56","Epithelial cell (intermediated)"
"57","C_57","Epithelial cell (intermediated)"
"58","C_58","Epithelial cell (intermediated)"
"59","C_59","Epithelial cell (intermediated)"
"60","C_60","Epithelial cell (intermediated)"
"61","C_61","Epithelial cell (intermediated)"
"62","C_62","Epithelial cell (intermediated)"
"63","C_63","Epithelial cell (intermediated)"
"64","C_64","Epithelial cell (intermediated)"
"65","C_65","Epithelial cell (intermediated)"
"66","C_66","Epithelial cell (intermediated)"
"67","C_67","Epithelial cell (intermediated)"
"68","C_68","Epithelial cell (intermediated)"
"69","C_69","Epithelial cell (intermediated)"
"70","C_70","Epithelial cell (intermediated)"
"71","C_71","Epithelial cell (intermediated)"
"72","C_72","Epithelial cell (intermediated)"
"73","C_73","Epithelial cell (intermediated)"
"74","C_74","Epithelial cell (intermediated)"
"75","C_75","Epithelial cell (intermediated)"
"76","C_76","Epithelial cell (intermediated)"
"77","C_77","Epithelial cell (intermediated)"
"78","C_78","Epithelial cell (intermediated)"
"79","C_79","Epithelial cell (intermediated)"
"80","C_80","Epithelial cell (intermediated)"
"81","C_81","Epithelial cell (intermediated)"
"82","C_82","Epithelial cell (intermediated)"
"83","C_83","Epithelial cell (intermediated)"
"84","C_84","Epithelial cell (intermediated)"
"85","C_85","Epithelial cell (intermediated)"
"86","C_86","Epithelial cell (intermediated)"
"87","C_87","Epithelial cell (intermediated)"
"88","C_88","Epithelial cell (intermediated)"
"89","C_89","Epithelial cell (intermediated)"
"90","C_90","Epithelial cell (intermediated)"
"91","C_91","Epithelial cell (intermediated)"
"92","C_92","Epithelial cell (intermediated)"
"93","C_93","Epithelial cell (intermediated)"
"94","C_94","Epithelial cell (intermediated)"
"95","C_95","Epithelial cell (intermediated)"
"96","C_96","Epithelial cell (intermediated)"
"97","C_97","Epithelial cell (intermediated)"
"98","C_98","Epithelial cell (intermediated)"
"99","C_99","Epithelial cell (intermediated)"
"100","C_100","Epithelial cell (intermediated)"
"101","C_101","Epithelial cell (intermediated)"
"102","C_102","Epithelial cell (intermediated)"
"103","C_103","Epithelial cell (intermediated)"
"104","C_104","Epithelial cell (intermediated)"
"105","C_105","Epithelial cell (intermediated)"
"106","C_106","Epithelial cell (intermediated)"
"107","C_107","Epithelial cell (intermediated)"
"108","C_108","Epithelial cell (intermediated)"
"109","C_109","Epithelial cell (intermediated)"
"110","C_110","Epithelial cell (intermediated)"
"111","C_111","Epithelial cell (intermediated)"
"112","C_112","Epithelial cell (intermediated)"
"113","C_113","Epithelial cell (intermediated)"
"114","C_114","Epithelial cell (intermediated)"
"115","C_115","Epithelial cell (intermediated)"
"116","C_116","Epithelial cell (intermediated)"
"117","C_117","Epithelial cell (intermediated)"
"118","C_118","Epithelial cell (intermediated)"
"119","C_119","Epithelial cell (intermediated)"
"120","C_120","Fibroblast"
"121","C_121","Epithelial cell (intermediated)"
"122","C_122","Epithelial cell (intermediated)"
"123","C_123","Epithelial cell (intermediated)"
"124","C_124","Epithelial cell (intermediated)"
"125","C_125","Epithelial cell (intermediated)"
"126","C_126","Epithelial cell (intermediated)"
"127","C_127","Epithelial cell (intermediated)"
"128","C_128","Epithelial cell (intermediated)"
"129","C_129","Epithelial cell (intermediated)"
"130","C_130","Epithelial cell (intermediated)"
"131","C_131","Epithelial cell (intermediated)"
"132","C_132","Epithelial cell (intermediated)"
"133","C_133","Epithelial cell (intermediated)"
"134","C_134","Epithelial cell (intermediated)"
"135","C_135","Epithelial cell (intermediated)"
"136","C_136","Epithelial cell (intermediated)"
"137","C_137","Epithelial cell (intermediated)"
"138","C_138","Epithelial cell (intermediated)"
"139","C_139","Epithelial cell (intermediated)"
"140","C_140","Epithelial cell (intermediated)"
"141","C_141","Epithelial cell (intermediated)"
"142","C_142","Epithelial cell (intermediated)"
"143","C_143","Epithelial cell (intermediated)"
"144","C_144","Epithelial cell (intermediated)"
"145","C_145","Epithelial cell (intermediated)"
"146","C_146","Epithelial cell (intermediated)"
"147","C_147","Epithelial cell (intermediated)"
"148","C_148","Epithelial cell (intermediated)"
"149","C_149","Epithelial cell (intermediated)"
"150","C_150","Epithelial cell (intermediated)"
"151","C_151","Epithelial cell (intermediated)"
"152","C_152","Epithelial cell (intermediated)"
"153","C_153","Epithelial cell (intermediated)"
"154","C_154","Epithelial cell (intermediated)"
"155","C_155","Epithelial cell (intermediated)"
"156","C_156","Epithelial cell (intermediated)"
"157","C_157","Epithelial cell (intermediated)"
"158","C_158","Epithelial cell (intermediated)"
"159","C_159","Epithelial cell (intermediated)"
"160","C_160","Epithelial cell (intermediated)"
"161","C_161","Epithelial cell (intermediated)"
"162","C_162","Epithelial cell (intermediated)"
"163","C_163","Epithelial cell (intermediated)"
"164","C_164","Epithelial cell (intermediated)"
"165","C_165","Epithelial cell (intermediated)"
"166","C_166","Epithelial cell (intermediated)"
"167","C_167","Epithelial cell (intermediated)"
"168","C_168","Epithelial cell (intermediated)"
"169","C_169","Epithelial cell (intermediated)"
"170","C_170","Epithelial cell (intermediated)"
"171","C_171","Epithelial cell (intermediated)"
"172","C_172","Epithelial cell (intermediated)"
"173","C_173","Epithelial cell (intermediated)"
"174","C_174","Epithelial cell (intermediated)"
"175","C_175","Epithelial cell (intermediated)"
"176","C_176","Epithelial cell (intermediated)"
"177","C_177","Epithelial cell (intermediated)"
"178","C_178","Epithelial cell (intermediated)"
"179","C_179","Epithelial cell (intermediated)"
"180","C_180","Epithelial cell (intermediated)"
"181","C_181","Epithelial cell (intermediated)"
"182","C_182","Epithelial cell (intermediated)"
"183","C_183","Epithelial cell (intermediated)"
"184","C_184","Epithelial cell (intermediated)"
"185","C_185","Epithelial cell (intermediated)"
"186","C_186","Epithelial cell (intermediated)"
"187","C_187","Epithelial cell (intermediated)"
"188","C_188","Epithelial cell (intermediated)"
"189","C_189","Epithelial cell (intermediated)"
"190","C_190","Epithelial cell (intermediated)"
"191","C_191","Epithelial cell (intermediated)"
"192","C_192","Epithelial cell (intermediated)"
"193","C_193","Epithelial cell (intermediated)"
"194","C_194","Epithelial cell (intermediated)"
"195","C_195","Epithelial cell (intermediated)"
"196","C_196","Epithelial cell (intermediated)"
