"","Cell","Cell_type"
"1","C_1","Epithelial cell"
"2","C_2","Epithelial cell"
"3","C_3","Epithelial cell"
"4","C_4","Epithelial cell"
"5","C_5","Epithelial cell"
"6","C_6","Epithelial cell"
"7","C_7","Epithelial cell"
"8","C_8","Epithelial cell"
"9","C_9","Epithelial cell"
"10","C_10","Epithelial cell"
"11","C_11","Epithelial cell"
"12","C_12","Epithelial cell"
"13","C_13","Epithelial cell"
"14","C_14","Epithelial cell"
"15","C_15","Epithelial cell"
"16","C_16","Epithelial cell"
"17","C_17","Epithelial cell"
"18","C_18","Epithelial cell"
"19","C_19","Epithelial cell"
"20","C_20","Epithelial cell"
"21","C_21","Epithelial cell"
"22","C_22","Epithelial cell"
"23","C_23","Epithelial cell"
"24","C_24","Epithelial cell"
"25","C_25","Epithelial cell"
"26","C_26","Epithelial cell"
"27","C_27","Epithelial cell"
"28","C_28","Epithelial cell"
"29","C_29","Epithelial cell"
"30","C_30","Epithelial cell"
"31","C_31","Epithelial cell"
"32","C_32","Epithelial cell"
"33","C_33","Epithelial cell"
"34","C_34","Epithelial cell"
"35","C_35","Epithelial cell"
"36","C_36","Epithelial cell"
"37","C_37","Epithelial cell"
"38","C_38","Epithelial cell"
"39","C_39","Epithelial cell"
"40","C_40","Epithelial cell"
"41","C_41","Epithelial cell"
"42","C_42","Epithelial cell"
"43","C_43","Epithelial cell"
"44","C_44","Epithelial cell"
"45","C_45","Epithelial cell"
"46","C_46","Epithelial cell"
"47","C_47","Epithelial cell"
"48","C_48","Epithelial cell"
"49","C_49","Epithelial cell"
"50","C_50","Epithelial cell"
"51","C_51","Epithelial cell"
"52","C_52","Epithelial cell"
"53","C_53","Epithelial cell"
"54","C_54","Epithelial cell"
"55","C_55","Epithelial cell"
"56","C_56","Proximal tubule epithelial cell"
"57","C_57","Proximal tubule epithelial cell"
"58","C_58","Proximal tubule epithelial cell"
"59","C_59","Proximal tubule epithelial cell"
"60","C_60","Proximal tubule epithelial cell"
"61","C_61","Proximal tubule epithelial cell"
"62","C_62","Proximal tubule epithelial cell"
"63","C_63","Proximal tubule epithelial cell"
