"","Cell","Cell_type"
"1","C_1","Mesothelial cell"
"2","C_2","Mesothelial cell"
"3","C_3","Fibroblast"
"4","C_4","Fibroblast"
"5","C_5","Fibroblast"
"6","C_6","Mesothelial cell"
"7","C_7","Fibroblast"
"8","C_8","Mesothelial cell"
"9","C_9","Fibroblast"
"10","C_10","Fibroblast"
"11","C_11","Fibroblast"
"12","C_12","Mesothelial cell"
"13","C_13","Fibroblast"
"14","C_14","Fibroblast"
"15","C_15","Fibroblast"
"16","C_16","Mesothelial cell"
"17","C_17","Fibroblast"
"18","C_18","Fibroblast"
"19","C_19","Fibroblast"
"20","C_20","Mesothelial cell"
"21","C_21","Fibroblast"
"22","C_22","Fibroblast"
"23","C_23","Mesothelial cell"
"24","C_24","Fibroblast"
"25","C_25","Fibroblast"
"26","C_26","Fibroblast"
"27","C_27","Fibroblast"
"28","C_28","Fibroblast"
"29","C_29","Fibroblast"
"30","C_30","Mesothelial cell"
"31","C_31","Fibroblast"
"32","C_32","Mesothelial cell"
"33","C_33","Fibroblast"
"34","C_34","Fibroblast"
"35","C_35","Fibroblast"
"36","C_36","Fibroblast"
"37","C_37","Fibroblast"
"38","C_38","Fibroblast"
"39","C_39","Fibroblast"
"40","C_40","Fibroblast"
"41","C_41","Fibroblast"
"42","C_42","Fibroblast"
"43","C_43","Fibroblast"
"44","C_44","Fibroblast"
"45","C_45","Fibroblast"
"46","C_46","Fibroblast"
"47","C_47","Mesothelial cell"
"48","C_48","Mesothelial cell"
"49","C_49","Fibroblast"
"50","C_50","Fibroblast"
"51","C_51","Fibroblast"
"52","C_52","Mesothelial cell"
"53","C_53","Fibroblast"
"54","C_54","Fibroblast"
"55","C_55","Fibroblast"
"56","C_56","Fibroblast"
"57","C_57","Fibroblast"
"58","C_58","Fibroblast"
"59","C_59","Mesothelial cell"
"60","C_60","Fibroblast"
"61","C_61","Fibroblast"
"62","C_62","Fibroblast"
"63","C_63","Fibroblast"
"64","C_64","Mesothelial cell"
"65","C_65","Mesothelial cell"
"66","C_66","Fibroblast"
"67","C_67","Fibroblast"
"68","C_68","Fibroblast"
"69","C_69","Fibroblast"
"70","C_70","Fibroblast"
"71","C_71","Fibroblast"
"72","C_72","Fibroblast"
"73","C_73","Fibroblast"
"74","C_74","Fibroblast"
"75","C_75","Fibroblast"
"76","C_76","Fibroblast"
"77","C_77","CB CD34+"
"78","C_78","Fibroblast"
"79","C_79","Fibroblast"
"80","C_80","Fibroblast"
"81","C_81","Fibroblast"
"82","C_82","Fibroblast"
"83","C_83","Fibroblast"
"84","C_84","Fibroblast"
"85","C_85","Fibroblast"
"86","C_86","Fibroblast"
"87","C_87","Fibroblast"
"88","C_88","Fibroblast"
"89","C_89","Fibroblast"
"90","C_90","Fibroblast"
"91","C_91","Fibroblast"
"92","C_92","Fibroblast"
"93","C_93","Fibroblast"
"94","C_94","Fibroblast"
"95","C_95","Fibroblast"
"96","C_96","Fibroblast"
"97","C_97","Fibroblast"
"98","C_98","Fibroblast"
"99","C_99","Fibroblast"
"100","C_100","Fibroblast"
"101","C_101","Fibroblast"
"102","C_102","Fibroblast"
"103","C_103","Fibroblast"
"104","C_104","Fibroblast"
"105","C_105","Mesothelial cell"
"106","C_106","Fibroblast"
"107","C_107","Fibroblast"
"108","C_108","Fibroblast"
"109","C_109","Fibroblast"
"110","C_110","Fibroblast"
"111","C_111","Fibroblast"
"112","C_112","Fibroblast"
"113","C_113","Fibroblast"
"114","C_114","Fibroblast"
"115","C_115","Fibroblast"
"116","C_116","Fibroblast"
"117","C_117","Fibroblast"
"118","C_118","Fibroblast"
"119","C_119","Fibroblast"
"120","C_120","Fibroblast"
"121","C_121","Fibroblast"
"122","C_122","Mesothelial cell"
"123","C_123","Fibroblast"
"124","C_124","Fibroblast"
"125","C_125","Fibroblast"
"126","C_126","Fibroblast"
"127","C_127","Fibroblast"
"128","C_128","Fibroblast"
"129","C_129","Fibroblast"
"130","C_130","Mesothelial cell"
"131","C_131","Fibroblast"
"132","C_132","Fibroblast"
"133","C_133","Fibroblast"
"134","C_134","Fibroblast"
"135","C_135","Mesothelial cell"
"136","C_136","Fibroblast"
"137","C_137","Fibroblast"
"138","C_138","Fibroblast"
"139","C_139","Fibroblast"
"140","C_140","Erythroid cell"
"141","C_141","Fibroblast"
"142","C_142","Mesothelial cell"
"143","C_143","Fibroblast"
"144","C_144","Fibroblast"
"145","C_145","Fibroblast"
"146","C_146","Mesothelial cell"
"147","C_147","Fibroblast"
"148","C_148","Fibroblast"
"149","C_149","Fibroblast"
"150","C_150","Fibroblast"
"151","C_151","Fibroblast"
"152","C_152","Fibroblast"
"153","C_153","Fibroblast"
"154","C_154","Fibroblast"
"155","C_155","Fibroblast"
"156","C_156","Fibroblast"
"157","C_157","Fibroblast"
"158","C_158","Fibroblast"
"159","C_159","Mesothelial cell"
"160","C_160","Fibroblast"
"161","C_161","Fibroblast"
"162","C_162","Fibroblast"
"163","C_163","Fibroblast"
"164","C_164","Fibroblast"
"165","C_165","Fibroblast"
"166","C_166","Fibroblast"
"167","C_167","Mesothelial cell"
"168","C_168","Fibroblast"
"169","C_169","Fibroblast"
"170","C_170","Fibroblast"
"171","C_171","Fibroblast"
"172","C_172","Fibroblast"
"173","C_173","Fibroblast"
"174","C_174","Fibroblast"
"175","C_175","Fibroblast"
"176","C_176","Fibroblast"
"177","C_177","Fibroblast"
"178","C_178","Fibroblast"
"179","C_179","Fibroblast"
"180","C_180","Fibroblast"
"181","C_181","Fibroblast"
"182","C_182","Fibroblast"
"183","C_183","Fibroblast"
"184","C_184","Fibroblast"
"185","C_185","Fibroblast"
"186","C_186","Fibroblast"
"187","C_187","Fibroblast"
"188","C_188","Fibroblast"
"189","C_189","Fibroblast"
"190","C_190","Fibroblast"
"191","C_191","Fibroblast"
"192","C_192","Fibroblast"
"193","C_193","Fibroblast"
"194","C_194","Fibroblast"
"195","C_195","Fibroblast"
"196","C_196","Fibroblast"
"197","C_197","Fibroblast"
"198","C_198","Fibroblast"
"199","C_199","Fibroblast"
"200","C_200","Fibroblast"
"201","C_201","Fibroblast"
"202","C_202","Fibroblast"
"203","C_203","Mesothelial cell"
"204","C_204","Fibroblast"
"205","C_205","Fibroblast"
"206","C_206","Fibroblast"
"207","C_207","Fibroblast"
"208","C_208","Fibroblast"
"209","C_209","Fibroblast"
"210","C_210","Fibroblast"
"211","C_211","Fibroblast"
"212","C_212","Fibroblast"
"213","C_213","Fibroblast"
"214","C_214","Fibroblast"
"215","C_215","Fibroblast"
"216","C_216","Fibroblast"
"217","C_217","Fibroblast"
"218","C_218","Fibroblast"
"219","C_219","Fibroblast"
"220","C_220","Fibroblast"
"221","C_221","Fibroblast"
"222","C_222","Fibroblast"
"223","C_223","Fibroblast"
"224","C_224","Fibroblast"
"225","C_225","Fibroblast"
"226","C_226","Fibroblast"
"227","C_227","Fibroblast"
"228","C_228","Fibroblast"
"229","C_229","Fibroblast"
"230","C_230","Fibroblast"
"231","C_231","Fibroblast"
"232","C_232","Fibroblast"
"233","C_233","Fibroblast"
"234","C_234","Fibroblast"
"235","C_235","Fibroblast"
"236","C_236","Fibroblast"
"237","C_237","Fibroblast"
"238","C_238","Fibroblast"
"239","C_239","Fibroblast"
"240","C_240","Fibroblast"
"241","C_241","Mesothelial cell"
"242","C_242","Fibroblast"
"243","C_243","Fibroblast"
"244","C_244","Fibroblast"
"245","C_245","Fibroblast"
"246","C_246","Mesothelial cell"
"247","C_247","Fibroblast"
"248","C_248","Fibroblast"
"249","C_249","Fibroblast"
"250","C_250","Fibroblast"
"251","C_251","Fibroblast"
"252","C_252","Fibroblast"
"253","C_253","Fibroblast"
"254","C_254","Fibroblast"
"255","C_255","Mesothelial cell"
"256","C_256","Fibroblast"
"257","C_257","Fibroblast"
"258","C_258","Fibroblast"
"259","C_259","Fibroblast"
"260","C_260","Fibroblast"
"261","C_261","Fibroblast"
"262","C_262","Fibroblast"
"263","C_263","Fibroblast"
"264","C_264","Fibroblast"
"265","C_265","Fibroblast"
"266","C_266","Fibroblast"
"267","C_267","Fibroblast"
"268","C_268","Fibroblast"
"269","C_269","Fibroblast"
"270","C_270","Fibroblast"
"271","C_271","Fibroblast"
"272","C_272","Fibroblast"
"273","C_273","Fibroblast"
"274","C_274","Fibroblast"
"275","C_275","Fibroblast"
"276","C_276","Fibroblast"
"277","C_277","Fibroblast"
"278","C_278","Fibroblast"
"279","C_279","Fibroblast"
"280","C_280","Fibroblast"
"281","C_281","Fibroblast"
"282","C_282","Fibroblast"
"283","C_283","Fibroblast"
"284","C_284","Fibroblast"
"285","C_285","Fibroblast"
"286","C_286","Fibroblast"
"287","C_287","Fibroblast"
"288","C_288","Fibroblast"
"289","C_289","Fibroblast"
"290","C_290","Fibroblast"
"291","C_291","Fibroblast"
"292","C_292","Fibroblast"
"293","C_293","Fibroblast"
"294","C_294","Fibroblast"
"295","C_295","Fibroblast"
"296","C_296","Fibroblast"
"297","C_297","Fibroblast"
"298","C_298","Mesothelial cell"
"299","C_299","Fibroblast"
"300","C_300","Fibroblast"
"301","C_301","Fibroblast"
"302","C_302","Fibroblast"
"303","C_303","Fibroblast"
"304","C_304","Fibroblast"
"305","C_305","Fibroblast"
"306","C_306","Fibroblast"
"307","C_307","Fibroblast"
"308","C_308","Fibroblast"
"309","C_309","Fibroblast"
"310","C_310","Fibroblast"
"311","C_311","Fibroblast"
"312","C_312","Fibroblast"
"313","C_313","Fibroblast"
"314","C_314","Fibroblast"
"315","C_315","Fibroblast"
"316","C_316","Fibroblast"
"317","C_317","Fibroblast"
"318","C_318","Fibroblast"
"319","C_319","Fibroblast"
"320","C_320","Fibroblast"
"321","C_321","Fibroblast"
"322","C_322","Fibroblast"
"323","C_323","Fibroblast"
"324","C_324","Mesothelial cell"
"325","C_325","Mesothelial cell"
"326","C_326","Fibroblast"
"327","C_327","Fibroblast"
"328","C_328","Fibroblast"
"329","C_329","Fibroblast"
"330","C_330","Fibroblast"
"331","C_331","Fibroblast"
"332","C_332","Fibroblast"
"333","C_333","Fibroblast"
"334","C_334","Fibroblast"
"335","C_335","Fibroblast"
"336","C_336","Fibroblast"
"337","C_337","Fibroblast"
"338","C_338","Fibroblast"
"339","C_339","Fibroblast"
"340","C_340","Fibroblast"
"341","C_341","Fibroblast"
"342","C_342","Fibroblast"
"343","C_343","Fibroblast"
"344","C_344","Fibroblast"
"345","C_345","Fibroblast"
"346","C_346","Fibroblast"
"347","C_347","Fibroblast"
"348","C_348","Fibroblast"
"349","C_349","Fibroblast"
"350","C_350","Fibroblast"
"351","C_351","Fibroblast"
"352","C_352","Fibroblast"
"353","C_353","Fibroblast"
"354","C_354","Fibroblast"
